,1st_committer,committers
52,AxtonYao,"['AxtonYao', 'Samuel NELA', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
53,Samuel NELA,"['Samuel NELA', 'fancyweb', 'Gawain Lynch', 'Oleg Voronkovich', 'Jérôme Deuchnord', 'Adrian Palmer', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
54,Lukas Kämmerling,"['Lukas Kämmerling', 'pascalbaljet', 'Alex Bouma', 'Rod Elias', 'Marcel Pociot', 'Syed I.R', 'Ahmad Fikrizaman Bin Abd Rahim', 'Nuno Maduro', 'Pascal Baljet', 'Freek Van der Herten', 'Sam Snelling', 'Mattias Geniar', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
55,pascalbaljet,"['pascalbaljet', 'Marcel Pociot', 'Robert Fridzema', 'Jordan Hoff', 'Thibaud Dauce', 'Simon Davies', 'joe-pritchard', ""Robin D'Arcy"", None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
56,Alex Bouma,"['Alex Bouma', 'Rod Elias', 'Marcel Pociot', 'Syed I.R', 'Ahmad Fikrizaman Bin Abd Rahim', 'Nuno Maduro', 'Pascal Baljet', 'Freek Van der Herten', 'Sam Snelling', 'Mattias Geniar', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
57,Rod Elias,"['Rod Elias', 'Max', 'Marcel Pociot', 'Paul Redmond', 'Julian Martin', 'Clayton Stone', 'Lucas Michot', 'Nuno Maduro', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
58,Marcel Pociot,"['Marcel Pociot', 'Paul Redmond', 'Julian Martin', 'Clayton Stone', 'Lucas Michot', 'Nuno Maduro', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
59,Syed I.R,"['Syed I.R', 'Ahmad Fikrizaman Bin Abd Rahim', 'Nuno Maduro', 'Pascal Baljet', 'Freek Van der Herten', 'Sam Snelling', 'Mattias Geniar', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
60,Ahmad Fikrizaman Bin Abd Rahim,"['Ahmad Fikrizaman Bin Abd Rahim', 'Nuno Maduro', 'Pascal Baljet', 'Freek Van der Herten', 'Sam Snelling', 'Mattias Geniar', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
61,Nuno Maduro,"['Nuno Maduro', 'freek', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
